spot_id,CAF,Endo,Macro,Malignant,NK,T
22x9,0.11367592,0.17535572,0.004424233,0.013999533,0.10767553,0.5848691
22x10,0.048458427,0.014641396,0.10816036,0.06445382,0.077762626,0.6865233
23x5,0.03564367,0.5718765,0.007711547,0.0630544,0.025038622,0.2966753
23x6,0.13977848,0.09652766,0.00013100964,0.055616874,0.066280514,0.6416655
23x7,0.13179263,0.17347047,0.00512939,0.0045748237,0.27055985,0.41447282
23x8,0.1679418,0.28771868,0.00029987158,0.100551285,0.014612393,0.42887595
23x12,0.00016395285,0.39099967,0.0014857964,0.114227764,0.23779757,0.25532523
23x13,0.20402709,0.15155622,0.0001665243,0.049173646,0.34376234,0.25131413
24x3,0.02612899,0.0017602,0.26573768,0.35985935,0.010050948,0.3364629
24x4,0.05573593,0.00081395573,0.2288987,0.37623584,0.017050207,0.32126534
24x6,0.025601916,0.37113094,0.0005315115,0.05275779,0.0587701,0.4912077
24x7,0.04706907,0.5438358,0.00247481,0.024805993,0.09209373,0.28972054
24x9,0.16711596,0.20661928,0.00045746577,0.06860079,0.06652362,0.4906829
24x13,0.11010811,0.21733533,0.0007207173,0.05152713,0.035650674,0.584658
25x3,0.03914003,0.008047999,0.33030844,0.25407827,0.0038997151,0.3645255
25x4,0.051131055,0.003956196,0.27898526,0.31523615,0.009954235,0.34073704
26x6,0.14620756,0.19555314,9.712066e-05,0.06335393,0.12452395,0.4702643
26x7,0.0013421172,0.2805235,0.00063852785,0.047994718,0.3760082,0.2934929
26x8,0.035734482,0.24091901,0.008610512,0.017807974,0.13411488,0.5628132
26x9,0.095041,0.28915563,0.00039023036,0.04550026,0.17968813,0.3902248
26x10,0.04964802,0.28590754,0.0049349577,0.01453367,0.2274841,0.4174917
26x12,0.0015467866,0.3200675,0.0011764672,0.04275804,0.26549768,0.36895353
27x7,0.080105424,0.23635578,0.00017875253,0.063907154,0.0993019,0.52015096
28x9,0.040346704,0.34353867,0.0013163411,0.04936672,0.24214171,0.32328984
